ALAMO SQUARE,37.77634875,-122.43467396,Alamo Square
ALTA PLAZA,37.79117333,-122.43766978,Pacific Heights
ANGELO J. ROSSI PLAYGROUND,37.77874186,-122.45745402,Inner Richmond
BALBOA NATURAL AREA,37.77591285,-122.51103949,Outer Richmond
BILLY GOAT HILL,37.74140787,-122.43319872,Noe Valley
BUENA VISTA PARK,37.76856390,-122.44137945,The Haight
CIVIC CENTER PLAZA,37.77958700,-122.41734900,Civic Center
CORONA HEIGHTS,37.76497671,-122.43879691,Castro
DOUGLASS PLAYGROUND,37.74727823,-122.43893283,Noe Valley
DUBOCE PARK,37.76961500,-122.43342784,Lower Haight
FRANKLIN SQUARE,37.76501506,-122.40931480,Mission
GARFIELD SQUARE,37.75020058,-122.41223560,Mission
GEORGE CHRISTOPHER PLAYGROUND,37.74347014,-122.44055037,Noe Valley
GOLDEN GATE PARK,37.76905891,-122.48094821,Inner Richmond
GOLDEN GATE PARK,37.76905891,-122.48094821,Inner Sunset
GOLDEN GATE PARK,37.76905891,-122.48094821,Outer Richmond
GOLDEN GATE PARK,37.76905891,-122.48094821,Outer Sunset
GRAND VIEW PARK,37.75646571,-122.47180128,Inner Sunset
JACKSON PLAYGROUND,37.76431480,-122.39960720,Potrero Hill
JAMES ROLPH JR PLAYGROUND,37.74972740,-122.40623124,Mission
JEFFERSON SQUARE,37.78180034,-122.42565792,Japantown
JOE DIMAGGIO PLAYGROUND,37.80248342,-122.41206911,North Beach/Telegraph Hill
JULIUS KAHN PLAYGROUND,37.79131306,-122.45397275,Presidio
JUSTIN HERMAN/EMBARCADERO PLAZA,37.79487978,-122.39476577,Embarcadero
KOSHLAND COMMUNITY PARK AND LEARNING GARDEN,37.77327800,-122.42672800,Hayes Valley
KITE HILL,37.75824114,-122.44166171,Castro
LAFAYETTE PARK,37.79154983,-122.42767158,Pacific Heights
LAUREL HILL PLAYGROUND,37.78393678,-122.45093931,Presidio
LINCOLN PARK,37.78423843,-122.49838278,Outer Richmond
LOWER GREAT HIGHWAY,37.74928062,-122.50817528,Outer Sunset
MARGARET S HAYWARD PLAYGROUND,37.78084683,-122.42542700,Fillmore
MARITIME PLAZA,37.79560513,-122.39923889,Embarcadero
MCCOPPIN SQUARE,37.74382723,-122.48007959,Outer Sunset
MCKINLEY SQUARE,37.75913976,-122.40469058,Potrero Hill
MIDTOWN TERRACE PLAYGROUND,37.75223367,-122.45453246,Twin Peaks
MISSION DOLORES PARK,37.75975506,-122.42709405,Mission
MISSION PLAYGROUND,37.75929170,-122.42230064,Mission
MOUNTAIN LAKE PARK,37.78724257,-122.46904540,Presidio
PALACE OF FINE ARTS,37.80299898,-122.44851272,Marina/Cow Hollow
PORTSMOUTH SQUARE,37.79483492,-122.40535067,Chinatown
RUSSIAN HILL PARK,37.80435800,-122.42085000,Russian Hill
SAN FRANCISCO MARITIME NATIONAL HISTORIC PARK,37.80774300,-122.42415000,Fisherman's Wharf
SAN FRANCISCO ZOO,37.73158916,-122.50380857,Outer Sunset
SOUTH END ROWING/DOLPHIN CLUB,37.80796044,-122.42126376,North Beach/Telegraph Hill
SOUTH PARK,37.78157949,-122.39395227,SoMa
STATES STREET PLAYGROUND,37.76380044,-122.43785312,Fillmore
SUE BIERMAN PARK,37.79592597,-122.39651060,Embarcadero
SUNSET PLAYGROUND,37.75658875,-122.48684698,Outer Sunset
UNION SQUARE,37.78799400,-122.40743700,Union Square
VICTORIA MANALO DRAVES PARK,37.77700947,-122.40595532,SoMa
WASHINGTON SQUARE,37.80083781,-122.41002829,North Beach/Telegraph Hill
WEST SUNSET PLAYGROUND,37.74899627,-122.49800859,Outer Sunset
